nombre_comida,calorias,carbohidratos,proteinas,grasas,azucar,sodio,precio,tipo,Apto_Veganos,Apto_Vegetarianos,Apto_Celiacos
Avena con frutas,300,50,10,5,20,10,2.5,1,1,1,0
Tostadas con aguacate,250,30,6,10,3,150,3.0,1,1,1,0
Yogur con granola y miel,200,35,8,4,15,50,2.0,1,0,1,0
Batido de plátano y avena,180,40,5,2,20,20,1.5,1,1,1,1
Huevos revueltos con espinacas,200,1,15,15,1,150,2.8,1,1,1,1
Pan integral con mantequilla de maní,350,40,12,16,8,180,2.5,1,1,1,0
Porridge de quinoa con frutas secas,280,50,7,8,25,10,3.2,1,1,1,1
Tortitas de avena y plátano,320,60,6,9,30,25,2.0,1,1,1,0
Batido verde,150,35,3,1,22,10,1.8,1,1,1,1
Muffin de zanahoria y nueces,340,45,6,15,20,200,2.5,1,1,1,1
Croissant con mermelada,400,45,5,22,30,300,3.5,1,1,1,0
Sandwich de pavo y queso,320,30,20,12,4,450,4.0,1,1,1,1
Cereal integral con leche de almendra,220,40,5,6,18,200,3.0,1,1,1,0
Chía pudding con fruta fresca,190,25,4,9,15,5,2.0,1,1,1,1
Galletas de avena y pasas,300,45,6,10,25,150,2.8,1,1,1,0
Tortilla de vegetales,250,5,18,12,3,350,3.2,2,1,1,0
Smoothie de frutos rojos,130,30,2,1,20,5,1.5,1,1,1,0
Panqueques con sirope de arce,450,75,8,10,35,400,3.0,1,1,1,0
Fruta fresca con yogurt griego,200,35,10,5,25,50,2.0,1,0,1,0
Gofres con fresas y nata,380,60,6,18,30,150,3.5,1,0,1,0
Pollo asado con vegetales,400,15,35,15,5,500,6.0,2,0,0,0
Salmón a la parrilla,450,0,40,25,0,200,8.0,2,0,0,0
Spaghetti a la boloñesa,600,80,25,20,10,600,7.0,2,0,0,0
Enchiladas de pollo,550,45,30,25,6,800,7.5,2,0,0,0
Risotto de hongos,500,70,15,18,7,400,6.5,2,0,0,0
Paella de mariscos,600,65,35,15,2,800,9.0,2,0,0,0
Lasagna de carne,700,60,30,35,10,900,8.5,2,0,0,0
Tacos de pescado,450,35,25,20,3,500,6.0,2,0,0,0
Chuletas de cerdo con puré de papa,650,50,30,25,2,900,7.5,2,0,0,0
Pollo al curry con arroz,500,60,30,15,6,700,6.5,2,0,0,0
Hamburguesa con queso,750,50,40,45,8,1200,9.0,2,0,0,0
Fajitas de carne,600,45,35,20,5,700,8.0,2,0,0,0
Pollo teriyaki con arroz,550,65,30,12,15,800,6.5,2,0,0,0
